Write successWrite successLeft Mouse Down; Time: 147678.887; Location(873.9, 369.6), Pressure: 1.000
Mouse Moved; Time: 148313.574; Location(16.7, 123.8), Pressure: 0.000
Mouse Moved; Time: 148313.590; Location(16.4, 124.1), Pressure: 0.000
Mouse Moved; Time: 148313.615; Location(16.4, 124.3), Pressure: 0.000
Left Mouse Down; Time: 148313.666; Location(16.4, 124.3), Pressure: 1.000
Left Mouse Up; Time: 148313.740; Location(16.4, 124.3), Pressure: 0.000
Write successLeft Mouse Down; Time: 149737.268; Location(1376.2, 888.2), Pressure: 1.000
Left Mouse Dragged; Time: 149737.268; Location(1376.2, 888.2), Pressure: 1.000
Left Mouse Up; Time: 149737.342; Location(1376.2, 888.2), Pressure: 0.000
Write successLeft Mouse Down; Time: 553.691; Location(709.8, 327.2), Pressure: 1.000
Left Mouse Up; Time: 553.805; Location(709.8, 327.2), Pressure: 0.000
Mouse Moved; Time: 554.033; Location(709.5, 327.2), Pressure: 0.000
Mouse Moved; Time: 554.041; Location(706.7, 326.7), Pressure: 0.000
Mouse Moved; Time: 554.049; Location(703.4, 323.4), Pressure: 0.000
Mouse Moved; Time: 554.057; Location(698.7, 320.5), Pressure: 0.000
Mouse Moved; Time: 554.065; Location(693.0, 316.7), Pressure: 0.000
Mouse Moved; Time: 554.072; Location(686.3, 312.7), Pressure: 0.000
Mouse Moved; Time: 554.081; Location(673.2, 306.6), Pressure: 0.000
Mouse Moved; Time: 554.089; Location(668.8, 305.5), Pressure: 0.000
Mouse Moved; Time: 554.097; Location(659.0, 302.5), Pressure: 0.000
Mouse Moved; Time: 554.105; Location(650.5, 300.4), Pressure: 0.000
Mouse Moved; Time: 554.113; Location(640.7, 298.8), Pressure: 0.000
Mouse Moved; Time: 554.121; Location(632.2, 298.1), Pressure: 0.000
Mouse Moved; Time: 554.129; Location(622.4, 298.1), Pressure: 0.000
Mouse Moved; Time: 554.136; Location(613.9, 298.1), Pressure: 0.000
Mouse Moved; Time: 554.144; Location(605.3, 298.1), Pressure: 0.000
Mouse Moved; Time: 554.152; Location(597.5, 302.4), Pressure: 0.000
Mouse Moved; Time: 554.162; Location(591.2, 306.2), Pressure: 0.000
Mouse Moved; Time: 554.169; Location(584.8, 311.9), Pressure: 0.000
Mouse Moved; Time: 554.177; Location(579.8, 319.0), Pressure: 0.000
Mouse Moved; Time: 554.185; Location(575.5, 326.8), Pressure: 0.000
Mouse Moved; Time: 554.193; Location(571.8, 335.9), Pressure: 0.000
Mouse Moved; Time: 554.201; Location(568.7, 345.6), Pressure: 0.000
Mouse Moved; Time: 554.209; Location(568.0, 355.4), Pressure: 0.000
Mouse Moved; Time: 554.217; Location(567.0, 374.4), Pressure: 0.000
Mouse Moved; Time: 554.225; Location(567.0, 379.7), Pressure: 0.000
Mouse Moved; Time: 554.233; Location(567.0, 390.8), Pressure: 0.000
Mouse Moved; Time: 554.241; Location(567.0, 399.3), Pressure: 0.000
Mouse Moved; Time: 554.249; Location(569.8, 407.9), Pressure: 0.000
Mouse Moved; Time: 554.257; Location(573.8, 414.6), Pressure: 0.000
Mouse Moved; Time: 554.265; Location(577.9, 421.3), Pressure: 0.000
Mouse Moved; Time: 554.273; Location(583.2, 426.6), Pressure: 0.000
Mouse Moved; Time: 554.281; Location(589.6, 432.3), Pressure: 0.000
Mouse Moved; Time: 554.289; Location(595.3, 435.5), Pressure: 0.000
Mouse Moved; Time: 554.297; Location(601.0, 438.6), Pressure: 0.000
Mouse Moved; Time: 554.305; Location(607.3, 441.2), Pressure: 0.000
Mouse Moved; Time: 554.313; Location(613.6, 442.4), Pressure: 0.000
Mouse Moved; Time: 554.321; Location(619.9, 442.4), Pressure: 0.000
Mouse Moved; Time: 554.329; Location(626.2, 442.4), Pressure: 0.000
Mouse Moved; Time: 554.337; Location(632.4, 442.4), Pressure: 0.000
Mouse Moved; Time: 554.345; Location(637.8, 442.4), Pressure: 0.000
Mouse Moved; Time: 554.353; Location(643.1, 440.7), Pressure: 0.000
Mouse Moved; Time: 554.362; Location(647.6, 437.8), Pressure: 0.000
Mouse Moved; Time: 554.370; Location(651.4, 435.1), Pressure: 0.000
Mouse Moved; Time: 554.378; Location(653.1, 433.8), Pressure: 0.000
Mouse Moved; Time: 554.386; Location(659.5, 428.1), Pressure: 0.000
Mouse Moved; Time: 554.394; Location(660.8, 426.4), Pressure: 0.000
Mouse Moved; Time: 554.402; Location(662.6, 424.1), Pressure: 0.000
Mouse Moved; Time: 554.410; Location(664.7, 421.0), Pressure: 0.000
Mouse Moved; Time: 554.418; Location(666.0, 418.9), Pressure: 0.000
Mouse Moved; Time: 554.426; Location(666.8, 416.8), Pressure: 0.000
Mouse Moved; Time: 554.434; Location(667.6, 415.2), Pressure: 0.000
Mouse Moved; Time: 554.442; Location(668.0, 413.7), Pressure: 0.000
Mouse Moved; Time: 554.450; Location(668.4, 412.1), Pressure: 0.000
Mouse Moved; Time: 554.458; Location(668.4, 410.6), Pressure: 0.000
Mouse Moved; Time: 554.466; Location(668.4, 409.6), Pressure: 0.000
Mouse Moved; Time: 554.474; Location(668.4, 408.0), Pressure: 0.000
Mouse Moved; Time: 554.482; Location(667.1, 406.3), Pressure: 0.000
Mouse Moved; Time: 554.491; Location(665.4, 405.0), Pressure: 0.000
Mouse Moved; Time: 554.499; Location(663.6, 403.7), Pressure: 0.000
Mouse Moved; Time: 554.506; Location(661.5, 402.9), Pressure: 0.000
Mouse Moved; Time: 554.514; Location(659.4, 401.6), Pressure: 0.000
Mouse Moved; Time: 554.522; Location(657.2, 400.8), Pressure: 0.000
Mouse Moved; Time: 554.531; Location(654.4, 400.3), Pressure: 0.000
Mouse Moved; Time: 554.538; Location(652.3, 399.9), Pressure: 0.000
Mouse Moved; Time: 554.546; Location(650.2, 399.4), Pressure: 0.000
