Time: 310337.580; State:  4; ID:  2; absPos(21.470, 38.550); absVel(77.875, 23.500); Ellipse( 9.22x 8.65); size(0.691)
Time: 310337.588; State:  4; ID:  2; absPos(22.030, 38.560); absVel(70.625,  0.625); Ellipse( 9.28x 8.67); size(0.699)
Time: 310337.596; State:  4; ID:  2; absPos(22.520, 38.390); absVel(60.375, -21.625); Ellipse( 9.30x 8.66); size(0.699)
Time: 310337.604; State:  4; ID:  2; absPos(23.070, 37.960); absVel(44.750, -53.125); Ellipse( 9.38x 8.72); size(0.699)
Time: 310337.612; State:  4; ID:  2; absPos(23.290, 37.350); absVel(27.625, -76.000); Ellipse( 9.36x 8.80); size(0.699)
Time: 310337.620; State:  4; ID:  2; absPos(23.360, 36.580); absVel( 7.625, -95.375); Ellipse( 9.40x 8.68); size(0.707)
Time: 310337.628; State:  4; ID:  2; absPos(23.230, 35.690); absVel(-15.375, -111.625); Ellipse( 9.46x 8.62); size(0.715)
Time: 310337.636; State:  4; ID:  2; absPos(22.960, 34.690); absVel(-34.375, -125.000); Ellipse( 9.91x 8.42); size(0.723)
Time: 310337.644; State:  4; ID:  2; absPos(22.410, 33.260); absVel(-63.000, -140.125); Ellipse(10.22x 8.44); size(0.727)
Time: 310337.652; State:  4; ID:  2; absPos(21.730, 32.080); absVel(-85.125, -148.250); Ellipse(10.00x 8.58); size(0.719)
Time: 310337.660; State:  4; ID:  2; absPos(20.910, 30.860); absVel(-102.250, -152.625); Ellipse( 9.82x 8.75); size(0.742)
Time: 310337.668; State:  4; ID:  2; absPos(19.930, 29.620); absVel(-122.000, -154.375); Ellipse( 9.75x 8.73); size(0.738)
Time: 310337.676; State:  4; ID:  2; absPos(18.800, 28.380); absVel(-141.000, -154.750); Ellipse( 9.54x 8.80); size(0.730)
Time: 310337.684; State:  4; ID:  2; absPos(17.530, 27.090); absVel(-158.875, -161.875); Ellipse( 9.52x 9.01); size(0.742)
Time: 310337.692; State:  4; ID:  2; absPos(16.170, 25.740); absVel(-169.500, -167.625); Ellipse( 9.48x 9.04); size(0.742)
Time: 310337.700; State:  4; ID:  2; absPos(14.730, 24.430); absVel(-180.125, -164.625); Ellipse(10.57x 8.68); size(0.754)
Time: 310337.708; State:  4; ID:  2; absPos(13.200, 23.170); absVel(-191.875, -156.625); Ellipse(10.23x 8.83); size(0.750)
Time: 310337.716; State:  4; ID:  2; absPos(11.610, 21.990); absVel(-198.125, -147.875); Ellipse(10.17x 8.84); size(0.750)
Time: 310337.724; State:  4; ID:  2; absPos(10.020, 20.930); absVel(-198.625, -132.625); Ellipse(10.58x 8.78); size(0.762)
Time: 310337.732; State:  4; ID:  2; absPos( 8.380, 20.010); absVel(-205.000, -115.125); Ellipse(10.39x 8.86); size(0.758)
Time: 310337.740; State:  4; ID:  2; absPos( 7.340, 19.570); absVel(-197.625, -100.125); Ellipse(10.33x 9.12); size(0.766)
Time: 310337.748; State:  4; ID:  2; absPos( 5.830, 18.940); absVel(-188.250, -79.250); Ellipse(10.38x 9.27); size(0.785)
Time: 310337.756; State:  4; ID:  2; absPos( 4.430, 18.490); absVel(-175.250, -56.125); Ellipse(11.47x 9.07); size(0.801)
Time: 310337.764; State:  4; ID:  2; absPos( 3.100, 18.220); absVel(-165.750, -34.125); Ellipse(11.56x 9.02); size(0.812)
